Product_ID,Product_Name,Product_Price,Category,Brand,Origin,Brand_Origin
116143914,[Chỉ giao HN] Gầu bò Mỹ Kiwifood - 1 khay 500g,162000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,KiwiFood,Việt Nam,-1
58215901,[Chỉ Giao HCM] - Sườn Non Heo Monang 3S - 500Gr,175000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,3Sạch Food,Việt Nam,Việt Nam
117075236,Sườn Cốt lết Indianan Packer Mỹ - 500g,55000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Indianan Packer,Mỹ,-1
118516305,1 Kg Giò Heo Tươi Sống GÓC BẾP BÀ BÉO Chuất Lượng Cao An Toàn Cho Sức khỏe,110000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,	OEM,Việt Nam,Châu Âu
105186509,[Chỉ giao HN] - Ba chỉ bò nhập khẩu cao cấp Cắt Nướng,119500,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
114621732,[Chỉ giao HN] - Tim lợn sạch BM,364000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
110120259,(chỉ bán tại HN) Thịt nạc vai - món ngon từ thịt heo,119000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Hoàng Gia,Việt Nam,Việt Nam
103044719,"HCM - Sườn cọng (Sườn que) (500g) - Thích hợp với các món nướng, hầm canh,... - [Giao nhanh TPHCM]",50000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,TOPMEAL,Việt Nam,Việt Nam
83147836,[Chỉ Giao HCM] - Ba Chỉ Bò Mỹ - 1KG,210000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
117805079,[Giao Nhanh 2H] Combo 2Kg Ba Chỉ Heo Có Sườn Cắt Khúc (4*6Cm),278000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Nga,-1
118264895,"[Má Hải | Redfish] - Gà tiềm thuốc bắc - Không chất bảo quản, không hàn the - CHỈ GIAO NỘI THÀNH HỒ CHÍ MINH TRONG GIỜ HÀNH CHÍNH",162500,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,Má Hải,Việt Nam,Việt Nam
62753857,[Chỉ Giao HCM] - Gân Bò Tơ Organicfood -300gr,126000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,Organicfood,Việt Nam,-1
125452819,Thịt Bắp Dê nhập khẩu Úc Phi Lê Túi 1kg ,229000,Thực Phẩm Tươi Sống/Thịt/Các Loại Thịt Khác,OEM,Úc,Úc
123353226,Thịt nạc vai - 1kg,119000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
120523618,Đùi Gà Góc Tư - 1kg,119000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Mỹ,-1
123488898,Bò fuji cắt lát - 200gr,189000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Nhật Bản,-1
111535131,Sườn Non Bò Có Xương Cắt Lát - 500gr,289000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
124015467,[Chỉ giao HCM] Thăn vai bò Mỹ cắt Steak 0.5kg,165000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
125755051,Sườn Cốt Lết Heo AsterLAM 500g,79000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,AsterLAM,Brazil,Việt Nam
53968567,[HCM] - Nạc vai bò Úc Xào 500g - giao nhanh,180000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,Meat World,Australia,-1
127290033,"Sườn que dùng để nấu canh, làm nước hầm xương rất ngon",75000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,COOMEE,Đức,Việt Nam
79409208,[Chỉ Giao HCM] - Đuôi heo CP - Khay 500g,112000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,CP,Việt Nam,Việt Nam
119068035,Nạc dăm heo 500gr,75000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,	OEM,Brazil,-1
83204490,[Chỉ Giao HCM] - BA CHỈ HEO CÓ DA ĐÔNG LẠNH - 1KG,129000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Úc,-1
125933865,[Chỉ Giao HCM] Nạc Dăm Heo Nhập Khẩu - 1 Kg,140000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Nga,-1
127488015,[Chỉ giao HN] - Đùi tỏi Gà NKP Đông lạnh (1kg) - được bán bởi TikiNGON - Giao nhanh 3H,74000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,Nam Khải Phú,Việt Nam,Việt Nam
117028530,[ Chỉ giao HN]-Cật Heo 1kg,250000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Thực Phẩm Smart,Việt Nam,-1
125388401,Thịt ba rọi heo có da - Đông lạnh - Đóng gói hút chân không,135000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,TUANVINA,Nga,Việt Nam
117175520,[Chỉ giao HCM] Gầu Bò Mỹ Bào Kichi-Kichi 300gr,140000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,iCOOK,Việt Nam,Việt Nam
123150258,Cốt Lết Cắt Lát,159000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,COOMEE,Canada,Việt Nam
124915934,2 KG BA RỌI HEO RÚT SƯỜN,354000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Nga,-1
116774795,Viên thả lẩu trứng cá hồi sao vàng gói 500g,149000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Việt Nam,Việt Nam
124328549,[Chỉ giao HN] - NẠC VAI LỢN NHẬP KHẨU NGA-1KG,122000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Miratorg,Nga,-1
105186483,[Chỉ giao HN] - Bắp bò Úc (Shin Shank AUS),134500,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
59306010,[Chỉ Giao HCM] - ÓC HEO HỮU CƠ FAU - 1 BỘ ÓC,100000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,FAU,Việt Nam,Việt Nam
79408901,[Chỉ Giao HCM] - Mề gà đông lạnh CP - Loại 500g,61000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,CP,Việt Nam,Việt Nam
